CAS,Tc,Pc,Vc,Zc,SMILES,Chemical,omega,Tc_error,Pc_error,Vc_error,ID,name,Tt,Pt,Tb,MW,Reference,Tm,Hfs,Hfl,Hfg,S0s,S0l,S0g,Hsub,Hfus,Hvap,AntoineTmin,AntoineTmax,AntoineA,AntoineB,AntoineC
78-99-9,560.0,4240000.0,0.000291,0.2649943616891377,CCC(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-07-2,418.55,3300000.0,0.000294,0.2787916350793281,FC(F)(F)C(F)(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
78-01-3,643.0,2570000.0,0.000534,0.2567019822916584,CCC1(CCCCC1)CC,,,,,,,,,,,,,,,,,,,,,,,,,,,
75-37-6,386.44,4520000.0,0.000179,0.2518112954610516,CC(F)F,,,,,,,,,,,,,,,,,,,,,,,,,,,
75-38-7,302.8,4460000.0,0.000154,0.2728132904146167,FC(F)=C,,,,,,,,,,,,,,,,,,,,,,,,,,,
534-15-6,507.8,3773000.0,0.000297,0.2654094444390174,COC(C)OC,,,,,,,,,,,,,,,,,,,,,,,,,,,
590-66-9,591.15,2938000.0,0.00045,0.2689877029552365,CC1(C)CCCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638-26-2,547.0,3445000.0,0.00036,0.2726906302083891,CC1(C)CCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
612-00-0,775.0,2680000.0,0.000604,0.2512093761996922,CC(c1ccccc1)c2ccccc2,,,,,,,,,,,,,,,,,,,,,,,,,,,
119-64-2,720.0,3650000.0,0.000408,0.2487633210133717,C1CCc2ccccc2C1,,,,,,,,,,,,,,,,,,,,,,,,,,,
488-23-3,693.0,3110000.0,0.000475,0.2563814379319871,Cc1ccc(C)c(C)c1C,,,,,,,,,,,,,,,,,,,,,,,,,,,
3726-45-2,642.0,2570000.0,0.000528,0.2542130450136722,CC1CCC(C)C(C)C1C,,,,,,,,,,,,,,,,,,,,,,,,,,,
38842-05-6,708.0,2070000.0,0.000703,0.2472055561888776,CCc1cc(CC)c(CC)c(CC)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,
527-53-7,679.0,2970000.0,0.000482,0.2535709678024507,Cc1cc(C)c(C)c(C)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,
100-50-5,655.0,4030000.0,0.000345,0.2552987310437468,O=CC1CCC=CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679-51-2,703.7,4050000.0,0.000372,0.2574994033073341,OCC1CCC=CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,
87-61-6,734.0,4510000.0,0.000395,0.2919062491701149,Clc1cccc(Cl)c1Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
96-18-4,652.0,3870000.0,0.000334,0.2384380992041822,ClCC(Cl)CCl,,,,,,,,,,,,,,,,,,,,,,,,,,,
42205-08-3,683.0,2380000.0,0.000593,0.2485288222049794,CCc1cccc(CC)c1CC,,,,,,,,,,,,,,,,,,,,,,,,,,,
61827-86-9,702.7,2795000.0,0.000531,0.2540225051585123,CCC1=C(C(=C(C=C1)C)C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,
526-73-8,664.5,3454000.0,0.000414,0.2588174202068869,Cc1cccc(C)c1C,,,,,,,,,,,,,,,,,,,,,,,,,,,
4773-83-5,726.0,2770000.0,0.000529,0.242753016549253,CC1C(=C(C2=CC=CC=C12)C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,
635-11-0,703.0,1556000.0,0.0009127,0.2429674709307309,CC(C)c1cc(C(C)C)c(cc1C(C)C)C(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,
95-93-2,676.0,2900000.0,0.000482,0.2486933400572817,Cc1cc(C)c(C)cc1C,,,,,,,,,,,,,,,,,,,,,,,,,,,
120-82-1,725.0,3720000.0,0.000395,0.2437630324134919,Clc1ccc(Cl)c(Cl)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,
877-44-1,684.0,2380000.0,0.0006,0.2510949166681473,CCc1ccc(CC)c(CC)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,
61827-87-0,697.3,2795000.0,0.000531,0.2559896950736937,CCC1=C(C=CC(=C1C)C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,
17851-27-3,687.3,2678000.0,0.00054,0.2530601747044769,CCc1cc(C)c(C)cc1C,,,,,,,,,,,,,,,,,,,,,,,,,,,
95-63-6,649.1,3232000.0,0.00043,0.2575099493824971,Cc1ccc(C)c(C)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,
65185-88-8,878.0,1070000.0,0.00137,0.2008055185160957,CCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC,,,,,,,,,,,,,,,,,,,,,,,,,,,
19295-81-9,841.0,1160000.0,0.00127,0.2106839874541546,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,,,,,,,,,,,,,,,,,,,,,,,,,,,
120-80-9,764.0,7490000.0,0.0003,0.3537329604463422,Oc1ccccc1O,,,,,,,,,,,,,,,,,,,,,,,,,,,
590-19-2,452.0,4360000.0,0.00022,0.2552328384004045,C[CH]=[C]=[CH2],,,,,,,,,,,,,,,,,,,,,,,,,,,
584-03-2,680.0,5210000.0,0.000303,0.279214040942792,CCC(O)CO,,,,,,,,,,,,,,,,,,,,,,,,,,,
106-93-4,650.15,5477000.0,0.0002616,0.2650530027372963,BrCCBr,,,,,,,,,,,,,,,,,,,,,,,,,,,
78-75-1,647.9,4653000.0,0.000322,0.2781293105424371,CC(Br)CBr,,,,,,,,,,,,,,,,,,,,,,,,,,,
124-73-2,487.8,3393000.0,0.000341,0.2852740433067847,FC(F)(Br)C(F)(F)Br,,,,,,,,,,,,,,,,,,,,,,,,,,,
354-23-4,461.6,3610000.0,0.000278,0.261488150073178,FC(Cl)C(F)(F)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
99-54-7,758.0,3600000.0,0.000436,0.2490494570911118,[O-][N+](=O)c1ccc(Cl)c(Cl)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,
616-21-7,600.0,3680000.0,0.000343,0.2530209623818842,CCC(Cl)CCl,,,,,,,,,,,,,,,,,,,,,,,,,,,
107-06-2,561.6,5370000.0,0.00022,0.2530088323494953,ClCCCl,,,,,,,,,,,,,,,,,,,,,,,,,,,
356-18-3,497.0,2730000.0,0.000386,0.2550112722272109,FC1(F)C(F)(F)C(F)(Cl)C1(F)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
78-87-5,572.0,4240000.0,0.000291,0.259435039415939,CC(Cl)CCl,,,,,,,,,,,,,,,,,,,,,,,,,,,
76-14-2,418.85,3260000.0,0.000294,0.2752150793055994,FC(F)(Cl)C(F)(F)Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,
629-14-1,561.0,2930000.0,0.000402,0.2525204921758027,CCOCCOCC,,,,,,,,,,,,,,,,,,,,,,,,,,,
367-11-3,566.0,4299000.0,0.00029,0.2649200490376625,Fc1ccccc1F,,,,,,,,,,,,,,,,,,,,,,,,,,,
624-72-6,445.0,4340000.0,0.000195,0.2287336945453012,FCCF,,,,,,,,,,,,,,,,,,,,,,,,,,,
110-71-4,536.15,3871000.0,0.0002706,0.2349797666545336,COCCOC,,,,,,,,,,,,,,,,,,,,,,,,,,,
7778-85-0,543.0,3446000.0,0.00035,0.2671463856667254,COCC(C)OC,,,,,,,,,,,,,,,,,,,,,,,,,,,
17059-44-8,687.7,2724000.0,0.000586,0.2791717762831497,CCCc1cccc(C)c1C,,,,,,,,,,,,,,,,,,,,,,,,,,,
103-29-7,785.1,2650000.0,0.000619,0.2512912464582036,C(Cc1ccccc1)c2ccccc2,,,,,,,,,,,,,,,,,,,,,,,,,,,
558-30-5,521.0,4660000.0,0.000242,0.2603330906502553,CC1(C)CO1,,,,,,,,,,,,,,,,,,,,,,,,,,,
122-60-1,720.0,2950000.0,0.000464,0.2286511105312269,C1OC1COc2ccccc2,,,,,,,,,,,,,,,,,,,,,,,,,,,
106-88-7,526.0,4390000.0,0.000258,0.2589788493697573,CCC1CO1,,,,,,,,,,,,,,,,,,,,,,,,,,,
540-63-6,663.0,5360000.0,0.000209,0.2032185565807894,SCCS,,,,,,,,,,,,,,,,,,,,,,,,,,,
592-44-9,526.0,3350000.0,0.000331,0.2535437279260966,CCC[CH]=[C]=[CH2],,,,,,,,,,,,,,,,,,,,,,,,,,,
591-95-7,500.0,3800000.0,0.000276,0.2522832919376221,CC[CH]=[C]=[CH2],,,,,,,,,,,,,,,,,,,,,,,,,,,
78-90-0,587.0,5270000.0,0.000316,0.3412128761494932,CC(N)CN,,,,,,,,,,,,,,,,,,,,,,,,,,,
57-55-6,676.4,5941000.0,0.000247,0.2609268201408669,CC(O)CO,,,,,,,,,,,,,,,,,,,,,,,,,,,
75-56-9,482.25,4920000.0,0.000186,0.2282294194851206,CC1CO1,,,,,,,,,,,,,,,,,,,,,,,,,,,
629-20-9,641.4,4420000.0,0.000328,0.27185227540808,C/1=C/C=C\C=C/C=C1,,,,,,,,,,,,,,,,,,,,,,,,,,,
108-70-3,718.0,3720000.0,0.000425,0.2648336954353062,Clc1cc(Cl)cc(Cl)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,
102-25-0,678.0,2300000.0,0.000593,0.2419461136324101,CCc1cc(CC)cc(CC)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,
717-74-8,696.6,1950000.0,0.000739,0.2488063124236582,CC(C)c1cc(cc(c1)C(C)C)C(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460-02-2,717.8,1656000.0,0.000894,0.248061983610998,CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(C)(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,
108-46-3,810.0,7490000.0,0.0003,0.3336444219518585,Oc1cccc(O)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,
106-99-0,425.0,4320000.0,0.000221,0.2701798183679798,C=CC=C,,,,,,,,,,,,,,,,,,,,,,,,,,,
